word,male_freq,female_freq,freq_diff
mean,6.500011072163149,5.387121124760884,-1.112889947402265
sort,4.261480204926201,3.3932238570871274,-0.8682563478390737
n,1.996245885388783,1.2737879386389974,-0.7224579467497856
up,7.900314058651202,7.180647256019517,-0.7196668026316848
used,2.9119789081805045,2.193450562715757,-0.7185283454647475
--anonplace,6.694750882842185,5.9845542478272,-0.7101966350149853
down,3.345095878419833,2.6649361143211387,-0.6801597640986943
four,1.9506546253635904,1.376427030965928,-0.5742275943976625
mate,0.6754019520874935,0.10999966468503702,-0.5654022874024565
game,0.8558130810443264,0.3406309319057094,-0.515182149138617
people,6.092294946795,5.583811974996953,-0.5084829717980464
big,2.346647283868119,1.865496172093453,-0.4811511117746661
alright,1.9408850696439062,1.5064638092924771,-0.43442126035142903
five,1.7832695706996695,1.3641594103690835,-0.419110160330586
pretty,1.3814151787633304,0.9949040304040709,-0.3865111483592595
another,1.6640809909195236,1.2962785763998788,-0.3678024145196448
play,1.0192903134203737,0.6567266226177303,-0.3625636908026434
hundred,1.4217960090713582,1.0595134988807842,-0.362282510190574
use,1.4016055939173444,1.0402942266123947,-0.3613113673049497
lot,3.100856985427731,2.7483559343796795,-0.3525010510480513
quid,0.6584680555067078,0.32182058032388156,-0.3366474751828263
called,1.339731741026012,1.0341604163139726,-0.3055713247120393
card,0.6363237292087571,0.3312257561147955,-0.30509797309396164
du,1.3963951642001795,1.0950895986116325,-0.30130556558854704
road,0.8225965915974005,0.5270987649777424,-0.29549782661965807
course,1.3084691627230225,1.0133054612993373,-0.2951637014236852
years,1.826906919580925,1.5404042262770798,-0.28650269330384526
thousand,0.7971957467262218,0.5144222236943367,-0.2827735230318852
twenty,0.9196408450795959,0.6370984296627794,-0.28254241541681646
cards,0.45330738539334187,0.17092884698269695,-0.2823785384106449
take,2.618240932875336,2.3418887719375725,-0.2763521609377637
guy,1.055112017725882,0.7806295906458576,-0.27448242708002435
old,1.427006438788523,1.1637882739539605,-0.2632181648345626
place,1.1925371015161048,0.9335659274198495,-0.25897117409625536
world,0.758768827562131,0.5058348892765456,-0.2529339382855854
only,3.3131819964021982,3.0828530559869667,-0.23032894041523155
pound,0.6304619957769467,0.40033335214368493,-0.2301286436332618
most,1.055112017725882,0.8252019454810584,-0.22991007224482352
first,2.099803176017434,1.8720389030784368,-0.22776427293899726
problem,0.8343200584610214,0.6182880780809515,-0.21603198038006988
could,5.719097918303068,5.5061170445502725,-0.2129808737527954
top,0.7750514204282714,0.5683997543204515,-0.20665166610781982
bloke,0.2755014712950914,0.07156112014825829,-0.20394035114683312
playing,0.5366742608679794,0.33817740778634053,-0.1984968530816389
great,1.0674867883041483,0.873863507181874,-0.19362328112227434
name,0.960672979102269,0.7720422562280665,-0.18863072287420246
ten,1.31628480729877,1.1290300155962352,-0.1872547917025349
put,3.9794656964846538,3.796010733350181,-0.18345496313447285
reckon,0.37905876192374277,0.19669085023606991,-0.18236791168767286
turn,0.7776566352868537,0.5953885196335089,-0.18226811565334478
